formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
Tl2Br2,1.307,1.140,1.140,0.219,0.000,2.413,,3.214,1.129,0.954,,2.079,38.079,4,2,-0.000,0.115,-0.764,No,p4/nmm
As4,0.566,6.357,7.486,0.378,0.000,0.835,1.797,1.324,0.501,0.182,0.000,2.399,17.592,4,1,-0.000,0.042,0.042,No,pman
C2F2,1.940,0.942,0.942,0.270,0.000,3.165,7.198,4.909,0.509,0.979,0.159,3.243,5.835,4,2,-0.000,0.285,-0.912,No,p-3m1
H2C2,1.387,0.901,0.901,0.252,0.000,3.460,6.416,4.421,1.027,0.615,0.000,2.679,5.583,4,2,0.000,0.004,-0.134,No,p-3m1
P4,0.624,6.055,4.533,0.343,0.000,0.903,2.025,1.511,0.408,1.035,0.232,2.110,15.312,4,1,0.000,0.039,0.039,No,pman
TiBr2,0.591,7.814,7.814,0.385,0.000,0.758,1.421,1.166,1.679,0.588,0.021,3.388,10.440,3,2,-0.000,0.033,-1.145,No,p-6m2
TiCl2,0.826,6.560,6.560,0.342,0.000,0.903,1.636,1.395,1.992,0.610,0.076,3.172,9.312,3,2,-0.000,0.007,-1.537,No,p-6m2
TiI2,0.444,10.021,10.021,0.442,0.000,0.596,1.090,0.828,1.235,0.492,0.024,3.629,12.302,3,2,-0.000,0.052,-0.670,No,p-6m2
TiO2,1.536,1.987,1.987,0.214,0.000,2.701,5.752,5.218,1.339,2.065,,1.936,7.762,3,2,-0.000,0.135,-2.945,No,p-3m1
Cs2Cl2,1.829,0.407,0.407,0.162,0.000,4.460,,5.654,0.701,1.604,0.962,1.033,45.420,4,2,-0.000,0.141,-1.853,No,p4/nmm
TiO2,1.807,1.986,1.986,0.238,0.000,1.195,3.915,3.447,1.459,3.211,,2.258,7.217,3,2,0.000,0.587,-2.493,No,p-6m2
Cu2Cl2,1.581,1.439,1.439,0.325,0.000,1.447,3.448,3.657,0.531,3.471,,3.003,14.277,4,2,-0.000,0.080,-0.371,No,p4/nmm
TiS2,0.977,5.099,5.099,0.366,0.000,0.734,2.208,2.015,1.321,1.330,,3.020,9.689,3,2,-0.000,0.145,-1.164,No,p-6m2
TiSe2,0.716,7.311,7.311,0.404,0.000,0.522,1.481,1.460,0.972,1.530,3.809,3.240,10.580,3,2,-0.000,0.126,-1.005,No,p-6m2
In2Cl2,1.799,1.225,1.225,0.196,0.000,2.298,,2.997,1.068,0.365,,1.230,36.513,4,2,-0.000,0.133,-0.709,No,p4/nmm
K2Cl2,2.573,0.337,0.337,0.154,0.000,4.882,,6.136,0.681,11.909,0.646,1.124,36.401,4,2,-0.000,0.147,-1.836,No,p4/nmm
VBr2,3.292,1.844,1.844,0.331,0.000,1.252,3.350,3.665,1.064,7.624,0.735,2.897,12.773,3,2,-0.000,0.000,-0.863,Yes,p-3m1
VCl2,3.827,1.454,1.454,0.287,0.000,1.354,3.459,3.894,1.321,8.292,0.776,2.662,11.600,3,2,0.000,0.000,-1.174,Yes,p-3m1
VI2,2.566,2.558,2.558,0.386,0.000,1.202,,3.395,0.854,4.394,,3.135,14.743,3,2,-0.000,0.000,-0.490,Yes,p-3m1
Rb2Cl2,2.318,0.354,0.354,0.155,0.000,4.651,,5.891,0.660,17.955,0.747,1.119,40.511,4,2,0.000,0.146,-1.823,No,p4/nmm
