MOA_general,MOA_specific,MOA_group,Tested,drug_name,CSN
5-HT - agonist,,1,TRUE,N-(3-trifluromethylphenylpiperazine hydrochloride) (TFMPP),SY0183
5-HT - agonist,,1,TRUE,5-HT,SY0121
5-HT - agonist,reuptake inhibitor,1,TRUE,1-(3-chlorophenyl)piperazine dihydrochloride,SY0130
5-HT - antagonist,,2,TRUE,Gramine,SY0291
5-HT - antagonist,,2,TRUE,Ketanserin,SY0283
5-HT - antagonist,,2,TRUE,Mianserin,SY0274
5-HT - antagonist,,2,TRUE,Methiothepin,SY0292
5-HT - antagonist,,2,TRUE,Ritanserin,SY0280
ACCase,,24,TRUE,spirotetramat,SY2405
AChE inhibitor,Carbamate,3,TRUE,Methomyl,SY0326
AChE inhibitor,Carbamate,3,TRUE,Aldicarb,SY0358
AChE inhibitor,Carbamate,3,TRUE,Carbaryl,SY0307
AChE inhibitor,Carbamate,3,TRUE,Carbofuran,SY0354
AChE inhibitor,Carbamate,3,TRUE,Pirimicarb,SY0330
AChE inhibitor,Organophosphate,3,TRUE,Profenofos,SY0331
AChE inhibitor,Organophosphate,3,TRUE,Chlorpyrifos,SY0380
AChE inhibitor,Organophosphate,3,TRUE,Monocrotophos,SY0318
AChE inhibitor,Organophosphate,3,TRUE,Diazinon,SY0386
AChE inhibitor,Organophosphate,3,TRUE,Pirimiphos-Methyl,SY0301
TRPV receptor,,5,TRUE,Pymetrozine,SY0567
Chitin biosynthesis inhibitor,,21,TRUE,Lufernon,SY2176
vAChT inhibitor,choline reuptake inhibitor,17,TRUE,hemicholinium-3,SY1702
GABA antagonist,orthosteric site,6,TRUE,Endosulfan,SY0641
GABA antagonist,orthosteric site,6,TRUE,Ethriprole,SY0600
GABA antagonist,orthosteric site,6,TRUE,Fipronil analogue,SY0617
GABA antagonist,orthosteric site,6,TRUE,Dieldrin,SY0612
GABA antagonist,orthosteric site,6,TRUE,Endrin,SY0622
GABA antagonist,transaminase inhibitor,6,TRUE,Gabaculine,SY0669
GluCl agonist,mectin ,7,TRUE,Emamectin benzoate,SY0791
GluCl agonist,mectin ,7,TRUE,Doramectin,SY0724
GluCl agonist,mectin ,7,TRUE,Avermectin type,SY0722
GluCl agonist,mectin ,7,TRUE,Ivermectin,SY0718
GluR agonist,,8,TRUE,Quisqualic acid,SY0860
Juvenile hormone mimic,,20,TRUE,Fenoxycarb,SY2064
mAChR - agonist,,9,TRUE,Arecoline,SY0938
mAChR - agonist,,9,TRUE,Oxotremorine,SY0929
mAChR - agonist,,9,TRUE,oxotremorine-like,SY0988
mAChR - agonist,,9,TRUE,cyclic amine type,SY0952
mAChR - agonist,,9,TRUE,cyclic amine type,SY0941
mAChR - antagonist,,23,TRUE,Scopolamine,SY2333
mAChR - antagonist,,23,TRUE,SY2353,SY2353
Mitochondrial inhibition,Complex I,10,TRUE,Rotenone,SY1081
Mitochondrial inhibition,Complex I,10,TRUE,Pyridaben,SY1084
Mitochondrial inhibition,Complex I,10,TRUE,SY1048,SY1048
Mitochondrial inhibition,Complex II,10,TRUE,cyenopyrafen,SY1051
Mitochondrial inhibition,Complex III,10,TRUE,azoxystrobin,SY1047
Mitochondrial inhibition,Complex III,10,TRUE,Antimycin A,SY1087
Mitochondrial inhibition,Mitochondrial ATP synthase,10,TRUE,diafenthiuron,SY1099
Mitochondrial inhibition,Uncoupler,10,TRUE,SY1079,SY1079
nAChR agonist,acr-23 receptor,11,TRUE,Monepantel,SY1154
nAChR agonist,all nicotinic receptors,11,TRUE,Nicotine,SY1104
nAChR agonist,cyanotropane,11,TRUE,Cyanotropane,SY1124
nAChR agonist,lev-1 receptor,11,TRUE,Levamisole,SY1140
nAChR agonist,nAChR/mAChR,11,FALSE,,
nAChR agonist,neonicotinoid,11,TRUE,Imidacloprid,SY1189
nAChR agonist,neonicotinoid,11,TRUE,Sulfoxaflor,SY1184
nAChR agonist,partial agonist of _4-_2 nA receptors,11,TRUE,Cytisine,SY1163
nAChR agonist,spinosyn (_6),11,TRUE,Spinosad,SY1173
nAChR agonist,full agonism on _7 nA receptors,11,TRUE,Varenicline,SY1118
nAChR antagonist,,12,TRUE,Cartap,SY1235
